id,airline_name_ko,airline_name_en,iata_code
1,대한 항공,Korean Air,KE
2,아시아나 항공,Asiana Airlines,OZ
3,제주 항공,JEJU air,7C
4,진에어,Jin Air,LJ
5,에어 부산,Air Busan,BX
6,이스타항공,Eastar Jet,ZE
7,티웨이 항공,Tway Air,TW
8,에어 서울,Air Seoul,RS
9,에어프레미아,Air Premia,YP
10,에어로 K,Aero K,RF
11,에어제타,AirZeta,KJ
12,21 에어,21 Air,2I
13,40 마일 에어,40 Mile Air,Q5
14,748 항공서비스,748 Air Services,FE
15,9 에어,9 Air,AQ
16,AB 항공,AB Aviation,Y6
17,ABX 에어,ABX Air,GB
18,ALS 리미티드,ALS Limited,K4
19,APG 항공,APG Airlines,GP
20,ASL 벨기에 항공,ASL Airlines Belgium,3V
21,ASL 프랑스 항공,ASL Airlines France,5O
22,ATSA 페루,ATSA Peru,4A
23,BA 시티플라이어,BA CityFlyer,CJ
24,BA 유로플라이어,BA Euroflyer,A0
25,BBN 항공,BBN Airlines,B5
26,BH 에어,BH Air,8H
27,CM 항공,CM Airlines,H5
28,CSA 체코 항공,CSA Czech Airlines,OK
29,DAT 항공,DAT,DX
30,DHL 과테말라,DHL de Guatemala,L3
31,DHL 국제항공 ME,DHL International Aviation ME,ES
32,DHL 에어 영국,DHL Air UK,D0
33,DHL 에어 오스트리아,DHL Air Austria,Q7
34,DHL 에어로 익스프레스,DHL Aero Expreso,D5
35,DHL 에콰도르,DHL Ecuador,7T
36,ETF 항공,ETF Airways,LI
37,FITS 항공,FITS Aviation,8D
38,FTL항공,FTL Airlines,C0
39,GP 항공,GP Aviation,IV
40,IBC 항공,IBC Airways,II
41,ITA항공,ITA Airways,AZ
42,JSX 항공,JSX,XE
43,KF 카고,KF Cargo,FK
44,KLM 네덜란드 항공,KLM Royal Dutch Airlines,KL
45,LEAV 항공,LEAV Aviation,KK
46,LOT 폴란드 항공,LOT Polish Airlines,LO
47,M 제트 인터내셔널 ,M Jets International ,WW
48,MHS 항공,MHS Aviation,M2
49,MIAT 몽골 항공,MIAT Mongolian Airlines,OM
50,MRK 항공,MRK Airlines,6V
51,PAL 항공 캐나다,PAL Airlines Canada,PB
52,PNG 항공,PNG Air,CG
53,PSA 항공,PSA Airlines,OH
54,SANSA 항공,SANSA,RZ
55,SAS 랑공,SAS,SK
56,SAS 연결,SAS Connect,SL
57,SATA 에어 아조레스,SATA Air Azores,SP
58,SF 항공,SF Airlines,O3
59,SKS 항공,SKS Airways,KI
60,SOSA 항공,Aerolineas Sosa,S0
61,STP 항공,STP Airways,8F
62,TAAG 항공,TAAG Angola Airlines,DT
63,TACA 페루,TACA Peru,T0
64,TAP 익스프레스,TAP Express,TP
65,TAP 항공 포르투갈,TAP Air Portugal,TP
66,TAROM 항공,TAROM,RO
67,TUI 플라이,TUI fly,X3
68,TUI 플라이 노르딕,TUI fly Nordic,6B
69,TUI 플라이 벨기에,TUI fly Belgium,TB
70,UPS,UPS,5X
71,USA 제트 항공,USA Jet Airlines,UJ
72,UVT 항공,UVT-Aero,RT
73,가루다 인도네시아 항공,Garuda Indonesia,GA
74,걸리버 항공,GullivAir,G2
75,걸프앤캐리비안항공,Gulf & Caribbean Air,IF
76,걸프항공,Gulf Air,GF
77,겟젯 항공,GetJet Airlines,GW
78,고려항공,Air Koryo,JS
79,고젯 항공,GoJet,G7
80,고투스카이,Go2Sky,6G
81,골 항공,GOL,G3
82,골든 미얀마 항공,Golden Myanmar Airlines,Y5
83,골든베이 항공,Golden Bay Air,G1
84,광시 베이부 걸프 항공,Guangxi Beibu Gulf Airlines,GX
85,그랜드캐년 항공,Grand Canyon Airlines,YR
86,그랜트 항공,Grant Aviation,GV
87,그레이터 베이 항공,Greater Bay Airlines,HB
88,그린아프리카 항공,Green Africa,Q9
89,글로벌 아프리카 항공,Global Africa Aviation,Z5
90,글로벌 크로싱 항공,Global Crossing Airlines,G6
91,글로벌 항공 운영,Global Aviation Operations,GE
92,나우루 항공,Nauru Airlines,ON
93,나제르 항공,Niger Airways,NJ
94,나티레바 에어 모아나,Natireva Air Moana,NM
95,남 에어,Nam Air,IN
96,남아프리카 항공,South African Airways,SA
97,내셔널 항공,National Airways,9Y
98,네스마 이집트 항공,Nesma Airlines Egypt,NE
99,네오스 항공,Neos,NO
100,네팔 항공,Nepal Airlines,RA
101,넷제트,NetJets,1I
102,노던 에어 카고,Northern Air Cargo,NC
103,노드스타 항공,NordStar Airlines,Y7
104,노드윈드 항공,Nordwind Airlines,N4
105,노르디카,Nordica,ND
106,노르딕 리저널 항공,Nordic Regional Airlines,N7
107,노르스 애틀랜틱 영국,Norse Atlantic UK,Z0
108,노르스 애틀랜틱 항공,Norse Atlantic Airways,N0
109,노르웨이 항공 셔틀 AOC,Norwegian Air Shuttle AOC,DY
110,노르웨이 항공 셔틀 ASA,Norwegian Air Shuttle ASA,DY
111,노르웨이 항공 스웨덴 AOC,Norwegian Air Sweden AOC,D8
112,노바 항공 아르메니아,NovAir Armenia,NG
113,노보에어,NOVOAIR,VQ
114,노스 스타 에어카고,North Star Air Cargo,0N
115,노스라이트 항공,North-Wright Airways,HW
116,노스웨스턴 에어 리스,Northwestern Airlease,J3
117,녹 에어,Nok Air,DD
118,놀리노르 항공,Nolinor Aviation,N5
119,누벨레어 튀니지,Nouvelair Tunisie,BJ
120,뉴 잉글랜드 항공,New England Airlines,EJ
121,닉스 에어,NyxAir,OJ
122,단에어,Dan Air,DN
123,달로 항공,Daallo Airlines,D3
124,델타항공,Delta,DL
125,독일 항공,German Airways,ZQ
126,디비 디비 에어,Divi Divi Air,3R
127,디어제트항공,Deer Jet,DF
128,라 코스테나,La Costena,LC
129,라 콤페니,La Compagnie,B0
130,라노 에어,Rano Air,R4
131,라오스 스카이웨이,Lao Skyway,LK
132,라오스 항공,Lao Airlines,QV
133,라이언 에어서비스,Ryan Air Services,7S
134,라이언에어,Ryanair,FR
135,라이언에어 영국,Ryanair UK,RK
136,라이온 항공,Lion Air,JT
137,라이트 에어 서비스,Wright Air Service,8V
138,라탐 카고 칠레,LATAM Cargo Chile,UC
139,라탐 카고 콜롬비아,LATAM Cargo Colombia,L7
140,라탐 항공,LATAM Airlines,LA
141,라탐 항공 브라질,LATAM Airlines Brasil,JJ
142,라탐 항공 에콰도르,LATAM Airlines Ecuador,XL
143,라탐 항공 칠레,LATAM Airlines Chile,LA
144,라탐 항공 콜롬비아,LATAM Airlines Colombia,4C
145,라탐 항공 파라과이,LATAM Airlines Paraguay,PZ
146,라탐 항공 페루,LATAM Airlines Peru,LP
147,람 모잠비크 항공,LAM - Mozambique Airlines,TM
148,럭스윙,Luxwing,BN
149,럭키 에어,Lucky Air,8L
150,레더윙즈,Red Wings,WZ
151,레드 에어,RED Air,L5
152,레이븐 알라스카,Ravn Alaska,7H
153,레인도 유나이티드서비스,Raindo United Services,R0
154,레전드 항공,Legend Airlines,LC
155,로간에어,Loganair,LM
156,로시야 항공,Rossiya - Russian Airlines,FV
157,로얄 모로코 항공,Royal Air Maroc,AT
158,로얄 에어 필리핀,Royal Air Philippines,RW
159,로얄 요르단 항공,Royal Jordanian,RJ
160,로타나 제트 항공,Rotana Jet,RG
161,루미윙스,Lumiwings,L9
162,루타카 항공,Rutaca,5R
163,루프트한자,Lufthansa,LH
164,루프트한자 시티라인,Lufthansa CityLine,CL
165,루프트한자 카고,Lufthansa Cargo,LH
166,루프트한자시티항공,Lufthansa City Airlines,VL
167,룩스에어,Luxair,LG
168,룸카고,Romcargo,NJ
169,룽 항공,Loong Air,GJ
170,룽장 항공,Longjiang Airlines,LT
171,르완다 항공,RwandAir,WB
172,리비아 윙스,Libyan Wings,YL
173,리저널 스카이,Regional Sky,4P
174,리저널 항공 서비스,Regional Air Services,8N
175,림분 에어,Rimbun Air,RI
176,링크 항공,Link Airways,FC
177,마그니 차터스,Magnicharters,UJ
178,마라부,Marabu,DI
179,마라톤 항공,Marathon Airlines,O8
180,마르틴에어,Martinair,MP
181,마비곡 항공,Mavi Gok Airlines ,4M
182,마스,Mas,M7
183,마스윙스,MASwings,MY
184,마야 아일랜드 항공,Maya Island Air,2M
185,마이 인도 항공,My Indo Airlines,2Y
186,마이 프라이터 항공,MY FREIGHTER,C6
187,마이웨이 항공,MyWay Airlines,MJ
188,마이카고항공,MYCargo Airline,9T
189,만다린 항공,Mandarin Airlines,AE
190,만야다나폰 항공,Mann Yadanarpon Airlines,7Y
191,만타 에어,Manta Air,NR
192,말레스 항공,Maleth Aero,DB
193,말레이시아 항공,Malaysia Airlines,MH
194,맥스 항공 나이지리아,Max Air Nigeria,VM
195,머큐리 월드 카고,Mercury World Cargo,4X
196,메다비아,Medavia,N5
197,메드스키 항공,Medsky Airways,BM
198,메사 항공,Mesa Airlines,YV
199,모던 로지스틱스,MODERN Logistics,WD
200,몰디비안,Maldivian,Q2
201,몰타 메드에어,Malta MedAir,MT
202,미들 이스트 항공 ,Middle East Airlines,ME
203,미스트랄 항공,Poste Air Cargo,M4
204,미얀마 국영항공,Myanmar National Airlines,UB
205,미얀마 국제항공,Myanmar Airways International,8M
206,바드르 항공,Badr Airlines,J4
207,바틱 에어 인도네시아,Batik Air Indonesia,ID
208,방콕항공,Bangkok Airways,PG
209,밸류제트,ValueJet,VK
210,뱀부 항공,Bamboo Airways,QH
211,버니크 항공,Berniq Airways,NB
212,버자야 에어,Berjaya Air,J8
213,버즈,Buzz,RR
214,버진 애틀랜틱 항공,Virgin Atlantic Airways,VS
215,버진 오스트레일리아,Virgin Australia,VA
216,버짓 라인,Budget Lines,BD
217,베링항공,Bering Air,8E
218,베미지 항공,Bemidji Airlines,CH
219,베어스킨 항공사,Bearskin Airlines,JV
220,베이징 케피탈 항공,Beijing Capital Airlines,JD
221,베트남 항공,Vietnam Airlines,VN
222,베트남 항공 서비스,Vietnam Air Services,0V
223,본자항공,Bonza,AB
224,볼가-드뇌프르 항공,Volga-Dnepr Airlines,VI
225,볼라리스 엘살바도르,Volaris El Salvador,N3
226,볼라리스 코스타리카,Volaris Costa Rica,Q6
227,볼라리스 항공,Volaris,Y4
228,볼로테아,Volotea,V7
229,볼리비아 항공,Boliviana de Aviacion,OB
230,볼리비아 항공 운송,Transportes Aereos Bolivianos,2L
231,부다 에어,Buddha Air,U4
232,부라키 항공,Buraq Air,UZ
233,부엘링 항공,Vueling,VY
234,부탄 항공,Bhutan Airlines,B3
235,부티크 에어,Boutique Air,4B
236,불가리아 항공,Bulgaria Air,FB
237,브라덴스 지역항공,Braathens Regional Airlines,TF
238,브라바 항공,Brava Linhas Aereas,NT
239,브라텐스 국제항공,Braathens International Airways,TT
240,브랜슨 에어 익스프레스,Branson Air Express,1X
241,브뤼셀 항공,Brussels Airlines,SN
242,브리즈 항공,Breeze Airways,MX
243,블루 아일랜드,Blue Islands,SI
244,비만 방글라데시 항공,Biman Bangladesh Airlines,BG
245,비바 에어로버스,Viva Aerobus,VB
246,비에케스 에어링크,Vieques Air Link,V4
247,비엣젯 항공,VietJet Air,VJ
248,비온드 항공,Beond,B4
249,비즈니스 항공 센터,Business Aviation Centre,UQ
250,빈터 카나리아스,Binter Canarias,NT
251,사모아 에어웨이,Samoa Airways,OL
252,사모아 항공,Samoa Air,OL
253,사우디아 항공,Saudia,SV
254,사우리야항공,Saurya Airlines,S1
255,사우스웨스트 항공,Southwest Airlines,WN
256,사우스윈드 항공,Southwind Airlines,2S
257,사테나 항공,SATENA,9R
258,사파리 링크 항공,Safarilink,F2
259,사파리 익스프레스 카고,Safari Express Cargo,ZF
260,사페어,Safair,FA
261,살람 에어,SalamAir,OV
262,살사 다아이티,Salsa dHaiti,SO
263,상해 항공,Shanghai Airlines,FM
264,샤먼 항공,Xiamen Airlines,MF
265,샤프 항공,Sharp Airlines,SH
266,샬레어 항공,Chalair Aviation,CE
267,서던에어 차터,Southern Air Charter,PL
268,선 컨트리 항공,Sun Country Airlines,SY
269,선댄스 항공 베네수엘라,Sundance Air Venezuela,R8
270,선데어,Sundair,SR
271,선도르 국제항공,Sun dOr International Airlines,2U
272,선라이즈 항공,Sunrise Airways,S6
273,선스플래시 항공 LLC,Sunsplash Aviation,YH
274,선윙 항공,Sunwing Airlines,WG
275,선전 항공,Shenzhen Airlines,ZH
276,세린 에어,SereneAir,ER
277,세버스탈 에어컴퍼니,Severstal Aircompany,D2
278,세부 퍼시픽 항공,Cebu Pacific,5J
279,세브고,Cebgo,DG
280,세이프 에어 컴퍼니,Safe Air Company,K3
281,세인트바스 커뮤터,Saint Barth Commuter,PV
282,세페란항공,Sepehran Airlines,IS
283,센터럴 마운틴에어,Central Mountain Air,9M
284,셈에어,CemAir,5Z
285,소몬에어,Somon Air,SZ
286,솔렌타 항공 모잠비크,Solenta Aviation Mozambique,FW
287,솔로몬 항공,Solomon Airlines,IE
288,솔리네어,Solinair,SP
289,송버드 항공,Songbird Airways,SK
290,수난 루이리 항공,Sunan Ruili Airlines,DR
291,수단 항공,Sudan Airways,SD
292,수리남 항공,Surinam Airways,PY
293,수파르나 항공,Suparna Airlines,Y8
294,슈리 항공,Shree Airlines,N9
295,슈퍼에어 제트,Super Air Jet,IU
296,스마트링스 항공,SmartLynx Airlines,6Y
297,스마트링스 항공 몰타,SmartLynx Malta,2N
298,스마트윙스,Smartwings,QS
299,스마트윙스 슬로바키아,Smartwings Slovakia,6D
300,스마트윙스 폴란드,Smartwings Polska,3Z
301,스마트윙스 헝가리,Smartwings Hungary,7O
302,스모키베이 에어,Smokey Bay Air,2E
303,스위스 국제 항공,SWISS International Air Lines,LX
304,스위프트에어,Swiftair,WT
305,스카이 KG 항공,Sky KG airlines,Y3
306,스카이 셔틀 헬리콥터스 리미티드,Sky Shuttle Helicopters Limited,3E
307,스카이 익스프레스,SKY express,GQ
308,스카이 항공,SkyAir,S8
309,스카이라인 익스프레스,Skyline Express,QU
310,스카이리스 카고,Skylease Cargo,GG
311,스카이마크 항공,Skymark Airlines,BC
312,스카이업,SkyUp,PQ
313,스카이업 MT,SkyUp MT,U5
314,스카이워드 익스프레스,Skyward Express,OW
315,스카이웨스트 항공,SkyWest Airlines,OO
316,스카이웨이 코스타리카,SKYWAY Costa Rica,LC
317,스카이택시,Skytaxi,TE
318,스카이하이 도미니카나,SKYhigh Dominicana,DO
319,스캇 항공,SCAT Airlines,DV
320,스키퍼스 항공,Skippers Aviation,HK
321,스타 에어 인도,Star Air India,S5
322,스타룩스 항공,STARLUX Airlines,JX
323,스타보에어,Stabo Air,4E
324,스타이스트 항공,Star East Airline,4R
325,스타플라이어,StarFlyer,7G
326,스파이스 제트,SpiceJet,SG
327,스프린트 에어,SprintAir,P8
328,시나몬 에어,Cinnamon Air,C7
329,시닉 항공,Scenic Airlines,YR
330,시라크 항공,Shirak Avia,5G
331,시리아 항공,Syrian Airlines,RB
332,시본 항공,Seaborne Airlines,BB
333,시엘로스 항공,Cielos Airlines,A2
334,시티링크,Citilink,QG
335,시티제트,CityJet,WX
336,실버스톤 항공 서비스,Silverstone Air Services,K5
337,실크 아비아,Silk Avia,US
338,실트 에어,Sylt Air,7E
339,싱가포르 항공,Singapore Airlines,SQ
340,썬익스프레스,SunExpress,XQ
341,쓰촨 항공,Sichuan Airlines,3U
342,씨에어 인터내셔널,SEAir International,XO
343,아나 윙즈,ANA Wings,EH
344,아루바 항공,Aruba Airlines,AG
345,아르메니아 에어웨이,Armenia Airways,6A
346,아리아나 아프간 항공,Ariana Afghan Airlines,FG
347,아리크 항공,Arik Air,W3
348,아마쿠사 항공,Amakusa Airlines,MZ
349,아메리라이트,Ameriflight,A8
350,아메리제트 인터내셔널,Amerijet International,M6
351,아메리칸 항공,American Airlines,AA
352,아벨로항공,Avelo Airlines,XP
353,아비아 트래픽 컴퍼니,Avia Traffic Company,YK
354,아비아스타-TU,Aviastar-TU,4B
355,아비앙카 과테말라,Avianca Guatemala,GU
356,아비앙카 아르헨티나,Avianca Argentina,A0
357,아비앙카 에콰도르,Avianca Ecuador,2K
358,아비앙카 엘살바도르,Avianca El Salvador,TA
359,아비앙카 온두라스,Avianca Honduras,WC
360,아비앙카 카고,Avianca Cargo,QT
361,아비앙카 코스타리카,Avianca Costa Rica,LR
362,아비앙카 항공,avianca,AV
363,아비어 항공,Avior Airlines,9V
364,아비온 익스프레스 몰타,Avion Express Malta,X8
365,아스카리 에비에이션,Askari Aviation,4K
366,아스키 항공,ASKY Airlines,KP
367,아스타 항공,Asta Linhas Aereas,0A
368,아스트랄 항공,Astral Aviation,8V
369,아에로 멕시코,Aeromexico,AM
370,아에로 유니온,Aerounion,6R
371,아에로탁시 아베테,Aerotaxi Abaete,E4
372,아이벡스 항공,IBEX Airlines,FW
373,아이슬란드 항공,Icelandair,FI
374,아이플라이,I-Fly,F7
375,아일랜드 에어 서비스,Island Air Service,2O
376,아젤바이잔 항공,Azerbaijan Airlines,J2
377,아조레스 항공,Azores Airlines,S4
378,아주르 항공,Azur Air,ZF
379,아줄 브라질 ,Azul Brazilian Airlines,AD
380,아줄 코넥타,Azul Conecta,2F
381,아즈텍 항공,Aztec Airways,AJ
382,아카사 항공,Akasa Air,QP
383,아트란,ATRAN,V8
384,아틀라스 에어,Atlas Air,5Y
385,아틀랜틱 에어웨이,Atlantic Airways,RC
386,아프리제트 비즈니스서비스,Afrijet Business Service,J7
387,아프리카 월드 항공,Africa World Airlines,AW
